epoch,loss,val_acc,q_grad_norm,cobyla
1,0.08167388368057106,0.8945590651816688,0.0017831573194664239,0
2,0.04056702485456871,0.939109001278072,0.001943903238632104,0
3,0.026336851022350265,0.9509768121234252,0.0019051270620844456,0
4,0.019851161318245467,0.9622055870001825,0.001764569940432827,0
5,0.015387068065507433,0.9723388716450612,0.001595281997685664,0
6,0.012060508976652066,0.9779989045097681,0.001425038773160531,0
7,0.010008667337470543,0.9831111922585357,0.0013813507518637745,0
8,0.008424700315100784,0.9797334307102429,0.0012180469321091804,0
9,0.007325243958531274,0.9837502282271317,0.0011105813314100383,0
10,0.005960021624773664,0.9847544276063538,0.0010084610971219817,0
11,0.0054980926030824325,0.9889538068285558,0.0009397200780402216,0
12,0.0049457612721076636,0.9918751141135658,0.0008797952930875646,0
13,0.0044673824601221025,0.991418659850283,0.0008380857190899143,0
14,0.004103509624027791,0.9918751141135658,0.0007920403019393093,0
15,0.0035768173274958563,0.9891363885338689,0.0007095537830518316,0
16,0.0032546960758333353,0.9918751141135658,0.0006549883670831872,0
17,0.0031097984855956175,0.993518349461384,0.0006669488054519872,0
18,0.0027887074675257365,0.9895015519444952,0.0005963871444729409,0
19,0.0027584888295452926,0.994339967135293,0.0005615455160483348,0
20,0.002611441129204078,0.9954354573671718,0.0005515807102617061,0
21,0.0023964240827799303,0.9953441665145153,0.0005409361266071389,0
22,0.0019351881134237363,0.9962570750410809,0.0004590802118194184,0
23,0.002022145306643521,0.9947964213985758,0.0004687372015695539,0
24,0.001895530207908338,0.9950702939565456,0.0004731125520322035,0
25,0.0016828158851136866,0.9966222384517072,0.0004105132506796058,0
26,0.0018260946722950826,0.994979003103889,0.0004129855394736652,0
27,0.001653379724197781,0.9953441665145153,0.00041023299287639786,0
28,0.0016161071731872166,0.9958919116304547,0.0003714348037187706,0
29,0.0016146495162999046,0.9972612744203031,0.00037633806925966673,0
30,0.0015690582146695286,0.9965309475990506,0.0003568483926202819,0
31,0.0014742440805703247,0.9968048201570203,0.00034997188117110275,0
32,0.0012652485648208518,0.9947964213985758,0.00030927874044228357,0
33,0.0012018022537903534,0.9956180390724849,0.00030926578584353356,0
34,0.0013771493847184266,0.9980828920942122,0.0003130160457395814,0
35,0.0011239133211159982,0.9968961110096768,0.00028056970806630355,0
36,0.0011834902604849836,0.9968961110096768,0.0002958445294051174,0
37,0.000981327025075779,0.9966222384517072,0.0002766826701621746,0
38,0.0012047416240111302,0.9968048201570203,0.00029336636511401333,0
39,0.0011198270523478998,0.9973525652729597,0.00026803380504734193,0
40,0.0010061940874366722,0.9982654737995252,0.00026038143276440977,0
41,0.0009830047662091471,0.9976264378309293,0.0002550843091514778,0
42,0.0009960693405633887,0.9977177286835859,0.00026458749389629956,0
43,0.0008893690616871739,0.9987219280628081,0.00023575544631235858,0
44,0.0008779352425223159,0.996439656746394,0.00022793774600752832,0
45,0.0009022789455220564,0.9977177286835859,0.00025334239450325953,0
46,0.0008519353923512642,0.9988132189154647,0.0002466501597211259,0
47,0.0007799574625246303,0.9988132189154647,0.0002286259571716523,0
48,0.0008765825279268254,0.9983567646521818,0.0002510474851697302,0
49,0.0007356358332002593,0.9977177286835859,0.00021004519725672076,0
50,0.0007676255315561424,0.9975351469782727,0.00021868570022223177,0
