epoch,loss,val_triplet_acc,val_map10,q_grad_norm,cobyla
1,0.08251441285299817,0.8485208181154127,0.0,0.001771655272784809,0
2,0.04101182588365902,0.8494338933528123,0.0,0.0020267332899030766,0
3,0.02834712875765021,0.8602994886778671,0.0,0.0019726058503862286,0
4,0.02198610507091726,0.8586559532505479,0.0,0.0018956958669019536,0
5,0.016488715616260335,0.8570124178232287,0.8633920284247062,0.0017462467124968212,0
6,0.0136077172412932,0.8674214755295836,0.0,0.00173818221809368,0
7,0.011280768136428275,0.8427684441197955,0.0,0.0016617826535093201,0
8,0.009283811770123029,0.8670562454346238,0.0,0.001535752995775179,0
9,0.00767900407757371,0.8485208181154127,0.0,0.0013851568013202276,0
10,0.00717020275039199,0.872808619430241,0.8712688529533162,0.001328314068335136,0
11,0.0062746001978831855,0.8718955441928415,0.0,0.0012233001777373184,0
12,0.0054696616449966115,0.8626734842951059,0.0,0.0011146888879717347,0
13,0.004999495535529275,0.8515339663988313,0.0,0.00103964828349561,0
14,0.0044019347211238175,0.8691563184806428,0.0,0.0009616500257373407,0
15,0.003744127634032418,0.881208911614317,0.875292456543462,0.0009056765768321374,0
16,0.0036141126228610115,0.8642257121986852,0.0,0.0008967635293468594,0
17,0.0031032414771674757,0.8828524470416362,0.0,0.0008418274887100355,0
18,0.0027824095480948547,0.8784696859021184,0.0,0.0008074215721249353,0
19,0.0027211870441391063,0.8597516435354273,0.0,0.0007693485398222992,0
20,0.00256583810184903,0.8571037253469685,0.8763971655599109,0.0007759965654970504,0
21,0.00229139474565994,0.8597516435354273,0.0,0.0007151205663267576,0
22,0.0023992417053740724,0.8606647187728269,0.0,0.0007371706218554905,0
23,0.0021267624397023183,0.870708546384222,0.0,0.0007148593164804058,0
24,0.0019375492210889087,0.8734477720964208,0.0,0.0006195867140965059,0
25,0.0015992012941781343,0.8673301680058437,0.8782284879709872,0.0005660376733778182,0
26,0.0019061859764147066,0.8671475529583638,0.0,0.0006554608229538266,0
27,0.001764649989051345,0.8532688093498905,0.0,0.0005792125310119918,0
28,0.0016285462045520312,0.8621256391526662,0.0,0.0005640383505740484,0
29,0.0014768432213666852,0.8656866325785245,0.0,0.0005039369971644431,0
30,0.0012966066106267751,0.8617604090577063,0.8815642602119035,0.0004754285815431327,0
31,0.0014359569159541892,0.8408509861212564,0.0,0.0005419229930274025,0
32,0.0012354674001394863,0.8655953250547845,0.0,0.00045535362770865456,0
33,0.0013692822569692639,0.8628560993425858,0.0,0.0004926554179321887,0
34,0.0012378136555960108,0.8551862673484295,0.0,0.00046669781398966747,0
35,0.0012636988713801,0.8741782322863404,0.8801344201200421,0.0004410413965431271,0
36,0.0011129648586464041,0.8764609203798392,0.0,0.0004012644646728647,0
37,0.0011922944739390987,0.8760956902848794,0.0,0.0004401784561828059,0
38,0.001070717599458631,0.870891161431702,0.0,0.00040844861042346216,0
39,0.0011058845380918707,0.8681519357195033,0.0,0.0003893813422403017,0
40,0.0010732987653668126,0.8697041636230826,0.8791910622702129,0.00041896961677669373,0
41,0.0009534142427554527,0.8565558802045289,0.0,0.0003537362190462643,0
42,0.0010192043306845268,0.8648648648648649,0.0,0.00041143197212561365,0
43,0.0009772046211179992,0.8657779401022644,0.0,0.00040300757381358187,0
44,0.0009635402606756474,0.8746347699050402,0.0,0.000377348541403816,0
45,0.0010020297166420634,0.8502556610664719,0.879654197628176,0.00036964682320712926,0
46,0.0008130097388638203,0.8808436815193572,0.0,0.00030439860608861587,0
47,0.0010535018952892792,0.8618517165814463,0.0,0.0003752552135328286,0
48,0.0008621371699517508,0.8703433162892622,0.0,0.0003203505629894771,0
49,0.0007731856585878161,0.8674214755295836,0.0,0.0003031474887029048,0
50,0.0008785363648185894,0.8718955441928415,0.882723821751633,0.0003445329486555675,0
