epoch,loss,val_acc
1,0.08734485566107852,0.826972242512783
2,0.04412783556110756,0.8326333089846604
3,0.029453111988188087,0.8497078159240321
4,0.02042883665922176,0.8556428049671293
5,0.01549706110079191,0.8445945945945946
6,0.01176553156497295,0.8613038714390066
7,0.009209900404978193,0.8481555880204529
8,0.007617419926817989,0.8654127100073046
9,0.006284718983369566,0.8561906501095691
10,0.005903400819648397,0.8552775748721695
11,0.004673362766988156,0.8529035792549307
12,0.004139841647261523,0.8566471877282688
13,0.0034917199265011335,0.8697041636230826
14,0.003409591684693725,0.8550949598246895
15,0.0028739412893915317,0.8658692476260044
16,0.0027484845530908455,0.8610299488677867
17,0.002445715470810669,0.8634039444850256
18,0.002091103521885539,0.862582176771366
19,0.0019413204805386977,0.8443206720233747
20,0.002050318233307465,0.8435902118334551
21,0.0019417961529608774,0.8556428049671293
22,0.0017899389551236796,0.858382030679328
23,0.0017783592332117214,0.8636778670562454
24,0.0016581900449859,0.8487947406866326
25,0.0015371405328385,0.8360116873630388
26,0.0013945767069083914,0.8629474068663258
27,0.0013501241255915247,0.8575602629656683
28,0.0013933497602271572,0.8425858290723156
29,0.0012965806782040488,0.8505295836376917
30,0.0011620681800789787,0.8450511322132944
31,0.0010726979006436166,0.8622169466764061
32,0.0011976702157431311,0.8582907231555881
33,0.0010368820887119586,0.8481555880204529
34,0.0011629822214620097,0.8466033601168736
35,0.0009622704715599703,0.8593864134404675
36,0.0010865924108274588,0.8615777940102265
37,0.0008727806330062869,0.8529035792549307
38,0.0009133819002863276,0.8443206720233747
39,0.0009693620672265303,0.8553688823959095
40,0.0008052471408548209,0.8596603360116873
41,0.0007916357626413486,0.8500730460189919
42,0.000916468629669468,0.8631300219138057
43,0.0008783448156486913,0.8559167275383491
44,0.0010482471544663882,0.8491599707815924
45,0.0008408920836514876,0.8383856829802776
46,0.0007815587419424397,0.8562819576333089
47,0.0007911783403971084,0.8569211102994887
48,0.0006858511575531489,0.8368334550766984
49,0.000800380803812505,0.8539992695398101
50,0.0004530115200507365,0.839663988312637
