epoch,loss,val_acc
1,0.010438063204374739,0.5948685171658145
2,0.0008427680662957875,0.5910336011687363
3,0.00021580478336163172,0.6008035062089117
4,0.00019012293772531838,0.6204346238130022
5,2.543016620101559e-05,0.5233747260774287
6,0.0005039937347779809,0.5151570489408327
7,0.0002716658677723963,0.531318480642805
8,7.2743143951601915e-06,0.5742330168005844
9,0.0,0.5599890430971513
10,0.0003052046440905415,0.6247260774287802
11,2.07162565914203e-06,0.4743425858290723
12,0.0,0.47909057706355
13,0.0,0.4826515704894083
14,0.0003320721840049992,0.6722972972972973
15,5.785968342332055e-05,0.5900292184075968
16,0.00017925799539888533,0.4523374726077429
17,1.5008670087899076e-05,0.5322315558802045
18,9.963082619365748e-05,0.6299306062819576
19,0.00016325707075294475,0.4970781592403214
20,8.539137697413806e-05,0.49470416362308256
21,1.3229083701110304e-05,0.6455441928414901
22,2.4670556954601233e-05,0.6193389335281227
23,9.633411620702777e-05,0.6772279035792549
24,2.41583793684001e-07,0.6305697589481373
25,2.3425440741085143e-06,0.5638239590942293
26,0.0,0.506117604090577
27,4.2816906123047924e-05,0.7822315558802045
28,0.0,0.7657962016070125
29,0.0,0.7700876552227903
30,0.0,0.7800401753104456
31,0.0001540490142297051,0.5659240321402483
32,1.5723450547632048e-05,0.45279401022644267
33,0.0001663159921728028,0.5420014609203798
34,1.4754500909147782e-05,0.4414718772826881
35,9.097118112485907e-05,0.6876369612856099
36,0.00013041479550348652,0.589663988312637
37,1.547537226514315e-05,0.641617969320672
38,5.620856068851205e-06,0.477081811541271
39,0.0,0.5627282688093499
40,0.0,0.5228268809349891
41,7.05055540453209e-06,0.4783601168736304
42,1.289694685400353e-05,0.6722059897735574
43,7.436845366503852e-05,0.6440832724616509
44,3.2946013977217285e-06,0.42859751643535426
45,2.7895098475177535e-06,0.6759495982468955
46,0.0,0.6893718042366691
47,3.896329729107951e-05,0.6756756756756757
48,0.0,0.6700146092037984
49,0.00013628309430584816,0.4373630387143901
50,2.214790657582286e-05,0.5308619430241052
